pipeline,window_s,outer_fold,study_name,number,value,state,params_band,params_dropout,params_hid,params_out,params_s_idx,user_attrs_outer_fold,user_attrs_window_s,params_C,params_max_pca,params_model
graph,4,1,eeg_graph_win4_fold1_20251014-063908,0,-0.8373349576176995,COMPLETE,theta,0.29818249672071007,16.0,8.0,2.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,1,-0.5823250509471612,COMPLETE,alpha,0.2846450412719998,12.0,12.0,0.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,2,-0.4066415668523073,COMPLETE,gamma,0.3058779981600017,16.0,12.0,0.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,3,-0.9330618083366549,COMPLETE,delta,0.31253303307632646,12.0,8.0,0.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,4,-0.6330708020030192,COMPLETE,alpha,0.3506857343847617,8.0,12.0,2.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,5,-0.7010181759978172,COMPLETE,theta,0.3272214925161949,16.0,12.0,0.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,6,-0.44272516475988394,COMPLETE,gamma,0.37075664739260933,16.0,12.0,1.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,7,-0.5519329752976069,COMPLETE,alpha,0.3339342241915651,12.0,12.0,2.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,8,-0.8147478855604972,COMPLETE,theta,0.3742909703912519,8.0,12.0,2.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,9,-0.3995006390014238,COMPLETE,gamma,0.3078646464236612,16.0,8.0,0.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,10,-0.8772280528622419,COMPLETE,delta,0.3279618509634565,12.0,8.0,3.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,11,-0.8772356427171811,COMPLETE,delta,0.3296203606227992,12.0,8.0,3.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,12,-0.8771503179028967,COMPLETE,delta,0.3442789128353681,12.0,8.0,3.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,13,-0.813366408672023,COMPLETE,beta,0.3187594204063961,12.0,8.0,3.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,14,-0.9600252350190702,COMPLETE,delta,0.3514083183150912,12.0,8.0,1.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,15,-0.9595911146514764,COMPLETE,delta,0.35787226822315443,12.0,8.0,1.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,16,-0.9596928843274314,COMPLETE,delta,0.35979948690790176,12.0,8.0,1.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,17,-0.7447203396924502,COMPLETE,beta,0.362084549754675,8.0,8.0,1.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,18,-0.9615188945031199,COMPLETE,delta,0.34413278673739733,12.0,8.0,1.0,1.0,4.0,,,
graph,4,1,eeg_graph_win4_fold1_20251014-063908,19,-0.9615188945031199,COMPLETE,delta,0.34362252741197324,12.0,8.0,1.0,1.0,4.0,,,
