pipeline,window_s,outer_fold,objective,param_band,param_s_idx,param_hid,param_out,param_dropout,param_model,param_C,param_max_pca
graph,4,1,-0.9615188945031199,delta,1.0,12.0,8.0,0.34413278673739733,,,
graph,4,2,-0.9607988878222736,delta,1.0,16.0,8.0,0.317871058286858,,,
graph,4,3,-0.9163702327745229,delta,1.0,16.0,8.0,0.3481504647591311,,,
graph,4,4,-0.8338477744505645,delta,1.0,12.0,8.0,0.3175578239007263,,,
graph,4,5,-0.8907056756998566,delta,1.0,16.0,8.0,0.3582854606531595,,,
classical,4,1,-0.9686054682754252,,,,,,logreg,0.16014574391898287,8.0
classical,4,2,-0.9271533545366237,,,,,,svc,0.32921482220103365,11.0
classical,4,3,-0.7705842618633495,,,,,,svc,0.4866518971582877,12.0
classical,4,4,-0.8937787885287047,,,,,,logreg,0.17456744004123317,5.0
classical,4,5,-0.9022207941361876,,,,,,logreg,0.0028535109684792,12.0
