pipeline,window_s,outer_fold,number,value,state,params_C,params_max_pca,params_model
classical,4,4,0,-0.8585991768134497,COMPLETE,0.09454306819536169,9,svc
classical,4,4,1,-0.8786181493757969,COMPLETE,0.001434715951720141,11,logreg
classical,4,4,2,-0.8662263804335587,COMPLETE,0.001136467270001117,12,svc
classical,4,4,3,-0.8841768185861296,COMPLETE,0.003095566460242371,6,logreg
classical,4,4,4,-0.8628943582280916,COMPLETE,0.014648955132800727,7,svc
classical,4,4,5,-0.8840046450513327,COMPLETE,0.00614454378558747,7,logreg
classical,4,4,6,-0.8623446228350234,COMPLETE,0.0034587052147518095,9,svc
classical,4,4,7,-0.8786807518988772,COMPLETE,0.04362599362560559,6,logreg
classical,4,4,8,-0.8594471518740802,COMPLETE,0.4038423798071558,11,svc
classical,4,4,9,-0.8854347347429155,COMPLETE,0.07026263205443048,8,logreg
classical,4,4,10,-0.8936505911193517,COMPLETE,0.2315926756421898,5,logreg
classical,4,4,11,-0.8935065332272423,COMPLETE,0.2455371375409656,5,logreg
classical,4,4,12,-0.8932251950180468,COMPLETE,0.43156506766242736,5,logreg
classical,4,4,13,-0.8937787885287047,COMPLETE,0.17456744004123317,5,logreg
classical,4,4,14,-0.8936565754660507,COMPLETE,0.15934951363809227,5,logreg
