pipeline,window_s,outer_fold,study_name,number,value,state,params_band,params_dropout,params_hid,params_out,params_s_idx,user_attrs_outer_fold,user_attrs_window_s
graph,4,2,eeg_graph_win4_fold2_20251021-070843,0,-0.8480298963643254,COMPLETE,theta,0.29818249672071007,16,8,2,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,1,-0.5470846473707928,COMPLETE,alpha,0.2846450412719998,12,12,0,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,2,-0.42909214209016283,COMPLETE,gamma,0.3058779981600017,16,12,0,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,3,-0.8941639535155735,COMPLETE,delta,0.31253303307632646,12,8,0,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,4,-0.6231315863316157,COMPLETE,alpha,0.3506857343847617,8,12,2,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,5,-0.6948963190868382,COMPLETE,theta,0.3272214925161949,16,12,0,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,6,-0.4529580603377881,COMPLETE,gamma,0.37075664739260933,16,12,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,7,-0.5856364491397664,COMPLETE,alpha,0.3339342241915651,12,12,2,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,8,-0.7579280956520219,COMPLETE,theta,0.3742909703912519,8,12,2,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,9,-0.46403446298102075,COMPLETE,gamma,0.3078646464236612,16,8,0,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,10,-0.7587598291581973,COMPLETE,delta,0.3279618509634565,12,8,3,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,11,-0.731695152307978,COMPLETE,beta,0.28131767324633405,12,8,3,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,12,-0.96047145475299,COMPLETE,delta,0.301258929108145,16,8,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,13,-0.9294966627390181,COMPLETE,delta,0.31662991032550236,12,8,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,14,-0.9359785860659754,COMPLETE,delta,0.29481995330284033,8,8,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,15,-0.9359653152193711,COMPLETE,delta,0.29514853954374903,8,8,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,16,-0.9363355772629934,COMPLETE,delta,0.29117689741366615,8,8,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,17,-0.6930152381483964,COMPLETE,beta,0.33880504509573395,8,8,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,18,-0.9603601532053804,COMPLETE,delta,0.2882516311144506,16,8,1,2,4
graph,4,2,eeg_graph_win4_fold2_20251021-070843,19,-0.9607988878222736,COMPLETE,delta,0.317871058286858,16,8,1,2,4
